iteration,time,bestobj
430,3.68388,24939
431,3.69308,24939
432,3.70078,24939
433,3.71011,24939
434,3.72457,24939
435,3.73245,24939
436,3.74218,24939
437,3.75056,24939
438,3.76041,24939
439,3.76854,24939
440,3.77726,24939
441,3.78474,24939
442,3.7934,24939
443,3.80114,24939
444,3.80955,24939
445,3.81661,24939
446,3.82491,24939
447,3.83214,24939
448,3.84045,24939
449,3.84751,24939
450,3.85547,24939
451,3.86274,24939
452,3.86982,24939
453,3.87696,24939
454,3.88428,24939
455,3.89152,24939
456,3.8987,24939
457,3.90593,24939
458,3.91303,24939
459,3.92027,24939
460,3.92761,24939
461,3.93463,24939
462,3.94162,24939
463,3.94859,24939
464,3.95539,24939
465,3.96238,24939
466,3.96889,24939
467,3.97783,24939
468,3.98672,24939
469,3.9957,24939
470,4.00374,24939
471,4.01235,24939
472,4.02021,24939
473,4.02841,24939
474,4.03636,24939
475,4.04413,24939
476,4.05319,24939
477,4.06125,24939
478,4.07066,24939
479,4.07845,24939
480,4.08718,24939
481,4.09657,24939
482,4.10539,24939
483,4.11327,24939
484,4.12238,24939
485,4.13082,24939
486,4.14012,24939
487,4.14909,24939
488,4.15691,24939
489,4.16604,24939
490,4.17365,24939
491,4.18251,24939
492,4.19007,24939
493,4.19765,24939
494,4.20482,24939
495,4.2137,24939
496,4.22103,24939
497,4.2293,24939
498,4.23649,24939
499,4.24534,24939
500,4.25296,24939
501,4.26253,24939
502,4.27044,24939
503,4.27925,24939
504,4.28685,24939
505,4.2964,24939
506,4.30413,24939
507,4.31293,24939
508,4.32028,24939
509,4.32835,24939
510,4.33616,24939
511,4.34352,24939
512,4.3507,24939
513,4.35821,24939
514,4.36573,24939
515,4.37325,24939
516,4.38055,24939
517,4.38745,24939
518,4.39453,24939
519,4.40128,24939
520,4.40827,24939
521,4.41526,24939
522,4.42204,24939
523,4.42873,24939
524,4.4354,24939
525,4.44216,24939
526,4.44893,24939
527,4.45612,24939
528,4.46297,24939
529,4.47,24939
530,4.47664,24939
531,4.48369,24939
532,4.49038,24939
533,4.49719,24939
534,4.50406,24939
535,4.51085,24939
536,4.51774,24939
537,4.5244,24939
538,4.53118,24939
539,4.53777,24939
540,4.54443,24939
541,4.55116,24939
542,4.55804,24939
543,4.56503,24939
544,4.57179,24939
545,4.57859,24939
546,4.58523,24939
547,4.59231,24939
548,4.59901,24939
549,4.60583,24939
550,4.61282,24939
551,4.61977,24939
552,4.62636,24939
553,4.63353,24939
554,4.64038,24939
555,4.64726,24939
556,4.65562,24939
557,4.66244,24939
558,4.66918,24939
559,4.67616,24939
560,4.68299,24939
561,4.68966,24939
562,4.6963,24939
563,4.70324,24939
564,4.70988,24939
565,4.7166,24939
566,4.72598,24939
567,4.73482,24939
568,4.74207,24939
569,4.74884,24939
570,4.75625,24939
571,4.76338,24939
572,4.77022,24939
573,4.7769,24939
574,4.78371,24939
575,4.79022,24939
576,4.7971,24939
577,4.80415,24939
578,4.81088,24939
579,4.81752,24939
580,4.82435,24939
581,4.83127,24939
582,4.83807,24939
583,4.84479,24939
584,4.8516,24939
585,4.85841,24939
586,4.86505,24939
587,4.87428,24939
588,4.88123,24939
589,4.88787,24939
590,4.89459,24939
591,4.90123,24939
592,4.9079,24939
593,4.91458,24939
594,4.92201,24939
595,4.95154,24939
596,4.98153,24939
597,4.99621,24939
598,5.02208,24939
599,5.04485,24939
600,5.05633,24939
601,5.06829,24939
602,5.08221,24939
603,5.09748,24939
604,5.10716,24939
605,5.11889,24939
606,5.13112,24939
607,5.14177,24939
608,5.15122,24939
609,5.16044,24939
610,5.1821,24939
611,5.2033,24939
612,5.21601,24939
613,5.22615,24939
614,5.23777,24939
615,5.25233,24939
616,5.26231,24939
617,5.27531,24939
618,5.28765,24939
619,5.29593,24939
620,5.30394,24939
621,5.31197,24939
622,5.32356,24939
623,5.33592,24939
624,5.34468,24939
625,5.35206,24939
626,5.36152,24939
627,5.39604,24939
628,5.40885,24939
629,5.45356,24939
630,5.51355,24939
631,5.5567,24939
632,5.59264,24939
633,5.62054,24939
634,5.64893,24939
635,5.67486,24939
636,5.70078,24939
637,5.75938,24939
638,5.7956,24939
639,5.8257,24939
640,5.88131,24939
641,5.91639,24939
642,5.96096,24939
643,5.99007,24939
644,6.016,24939
645,6.04018,24939
